antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,pair
frozenset({'REGENCY MILK JUG PINK '}),frozenset({'REGENCY SUGAR BOWL GREEN'}),0.014677314914742067,0.014461472048348802,0.011115907619253183,0.7573529411764706,52.37039069359087,1.0,0.010903652039868827,4.061613327315896,0.9955167536873,0.6167664670658682,0.7537924170982453,0.7630048287971904,"frozenset({'REGENCY MILK JUG PINK ', 'REGENCY SUGAR BOWL GREEN'})"
"frozenset({""POPPY'S PLAYHOUSE KITCHEN"", ""POPPY'S PLAYHOUSE LIVINGROOM ""})","frozenset({""POPPY'S PLAYHOUSE BEDROOM ""})",0.011601554068638031,0.01705158644506799,0.010036693287286855,0.8651162790697675,50.73523697380042,1.0,0.009838868385188344,7.287376169458983,0.9917962102306982,0.5391304347826086,0.862776398974579,0.7268619370032382,"frozenset({""POPPY'S PLAYHOUSE KITCHEN"", ""POPPY'S PLAYHOUSE LIVINGROOM "", ""POPPY'S PLAYHOUSE BEDROOM ""})"
frozenset({'REGENCY TEA PLATE GREEN '}),frozenset({'REGENCY TEA PLATE ROSES '}),0.014569393481545435,0.017699115044247787,0.012357004101014462,0.8481481481481482,47.92037037037037,1.0,0.012099138729659675,6.468810705806176,0.9936083183205731,0.6205962059620597,0.8454120787454121,0.7731594399277326,"frozenset({'REGENCY TEA PLATE GREEN ', 'REGENCY TEA PLATE ROSES '})"
"frozenset({""POPPY'S PLAYHOUSE LIVINGROOM ""})","frozenset({""POPPY'S PLAYHOUSE BEDROOM ""})",0.01359810058277574,0.01705158644506799,0.011061946902654867,0.8134920634920635,47.70770544504722,1.0,0.010830077715078937,5.270276600337082,0.992535624699792,0.5647382920110193,0.8102566381551889,0.7311131203536267,"frozenset({""POPPY'S PLAYHOUSE LIVINGROOM "", ""POPPY'S PLAYHOUSE BEDROOM ""})"
frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),frozenset({'SET/6 RED SPOTTY PAPER CUPS'}),0.017537232894452838,0.01537880423052018,0.012734729117202677,0.7261538461538461,47.217835357624836,1.0,0.012465027445773848,3.5955268384840555,0.9962937983435316,0.6310160427807487,0.7218766414710953,0.7771120107962213,"frozenset({'SET/6 RED SPOTTY PAPER PLATES', 'SET/6 RED SPOTTY PAPER CUPS'})"
"frozenset({""POPPY'S PLAYHOUSE KITCHEN""})","frozenset({""POPPY'S PLAYHOUSE LIVINGROOM ""})",0.018670407943017484,0.01359810058277574,0.011601554068638031,0.6213872832369942,45.69662354344435,1.0,0.011347671983507425,2.6053057801401494,0.9967258228281914,0.5613577023498695,0.616167895675491,0.7372809432057987,"frozenset({""POPPY'S PLAYHOUSE KITCHEN"", ""POPPY'S PLAYHOUSE LIVINGROOM ""})"
frozenset({'CHILDRENS CUTLERY SPACEBOY '}),frozenset({'CHILDRENS CUTLERY DOLLY GIRL '}),0.01748327217785452,0.014893157781135334,0.011547593352039715,0.6604938271604939,44.348810162819824,1.0,0.011287212220964394,2.901587426171929,0.9948446200088694,0.5544041450777202,0.6553610651258913,0.7179280730005368,"frozenset({'CHILDRENS CUTLERY SPACEBOY ', 'CHILDRENS CUTLERY DOLLY GIRL '})"
"frozenset({""POPPY'S PLAYHOUSE KITCHEN""})","frozenset({""POPPY'S PLAYHOUSE BEDROOM ""})",0.018670407943017484,0.01705158644506799,0.013706022015972373,0.7341040462427746,43.05194995244019,1.0,0.013387661940967325,3.696740772717462,0.9953559500212589,0.6225490196078433,0.7294914462544521,0.7689507572986025,"frozenset({""POPPY'S PLAYHOUSE KITCHEN"", ""POPPY'S PLAYHOUSE BEDROOM ""})"
frozenset({'PINK VINTAGE PAISLEY PICNIC BAG'}),frozenset({'SCANDINAVIAN PAISLEY PICNIC BAG'}),0.015270882797323549,0.01721346859486294,0.010738182603064968,0.7031802120141343,40.850582097322686,1.0,0.010475317741617406,3.311054623662545,0.9906486236872345,0.49379652605459057,0.6979814247540732,0.6635023317123963,"frozenset({'SCANDINAVIAN PAISLEY PICNIC BAG', 'PINK VINTAGE PAISLEY PICNIC BAG'})"
frozenset({'SMALL MARSHMALLOWS PINK BOWL'}),frozenset({'SMALL DOLLY MIX DESIGN ORANGE BOWL'}),0.01554068638031513,0.01947981869199223,0.012141161234621195,0.78125,40.10560941828255,1.0,0.011838431481583544,4.48237797169375,0.9904582328436747,0.5306603773584905,0.7769041329591106,0.7022593490304709,"frozenset({'SMALL MARSHMALLOWS PINK BOWL', 'SMALL DOLLY MIX DESIGN ORANGE BOWL'})"
