CustomerID,LastPurchaseDate,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment
12346.0,2011-01-18 10:01:00,325,1,77183.6,1,1,2,112
12347.0,2011-12-07 15:52:00,1,7,4310.0,5,1,1,511
12348.0,2011-09-25 13:13:00,74,4,1797.24,2,1,1,211
12349.0,2011-11-21 09:51:00,18,1,1757.55,4,1,1,411
12350.0,2011-02-02 16:01:00,309,1,334.4,1,1,1,111
12352.0,2011-11-03 14:37:00,35,8,2506.04,3,1,1,311
12353.0,2011-05-19 17:47:00,203,1,89.0,1,1,1,111
12354.0,2011-04-21 13:11:00,231,1,1079.4,1,1,1,111
12355.0,2011-05-09 13:49:00,213,1,459.4,1,1,1,111
12356.0,2011-11-17 08:40:00,22,3,2811.43,4,1,1,411
12357.0,2011-11-06 16:07:00,32,1,6207.67,4,1,1,411
12358.0,2011-12-08 10:26:00,1,2,1168.06,5,1,1,511
12359.0,2011-10-13 12:47:00,57,4,6310.03,3,1,1,311
12360.0,2011-10-18 15:22:00,51,3,2662.06,3,1,1,311
12361.0,2011-02-25 13:51:00,286,1,189.9,1,1,1,111
12362.0,2011-12-06 15:40:00,2,10,5226.23,5,1,1,511
12363.0,2011-08-22 10:18:00,109,2,552.0,2,1,1,211
12364.0,2011-12-02 10:22:00,7,4,1313.1,5,1,1,511
12365.0,2011-02-21 14:04:00,290,2,641.38,1,1,1,111
12367.0,2011-12-05 16:48:00,3,1,168.9,5,1,1,511
12370.0,2011-10-19 14:51:00,50,4,3541.94,3,1,1,311
12371.0,2011-10-26 10:16:00,44,2,1887.96,3,1,1,311
12372.0,2011-09-29 12:12:00,71,3,1298.04,3,1,1,311
12373.0,2011-02-01 13:10:00,310,1,364.6,1,1,1,111
12374.0,2011-11-14 15:37:00,24,1,742.9300000000001,4,1,1,411
12375.0,2011-11-29 10:36:00,10,2,457.5,5,1,1,511
12377.0,2011-01-28 15:45:00,314,2,1628.12,1,1,1,111
12378.0,2011-08-02 10:34:00,129,1,4008.62,2,1,1,211
12379.0,2011-09-19 10:09:00,81,2,852.24,2,1,1,211
12380.0,2011-11-18 11:27:00,21,4,2724.81,4,1,1,411
12381.0,2011-12-05 12:44:00,4,5,1845.31,5,1,1,511
12383.0,2011-06-08 08:02:00,184,5,1850.56,1,1,1,111
12384.0,2011-11-11 08:39:00,28,2,585.27,4,1,1,411
12386.0,2011-01-06 12:37:00,337,2,401.9,1,1,1,111
12388.0,2011-11-24 12:30:00,15,6,2780.66,4,1,1,411
12390.0,2011-09-21 09:33:00,79,1,549.84,2,1,1,211
12391.0,2011-11-18 12:07:00,21,1,439.66,4,1,1,411
12393.0,2011-09-28 15:41:00,71,4,1582.6000000000001,3,1,1,311
12394.0,2011-10-07 08:08:00,63,2,1272.48,3,1,1,311
12395.0,2011-11-20 15:21:00,18,12,3018.63,4,1,1,411
12397.0,2011-11-04 09:52:00,35,2,2409.9,3,1,1,311
12398.0,2011-10-25 10:27:00,45,1,1635.6599999999999,3,1,1,311
12399.0,2011-08-12 13:15:00,118,4,1108.65,2,1,1,211
12401.0,2011-02-09 13:50:00,302,1,84.3,1,1,1,111
12402.0,2011-01-20 13:49:00,322,1,225.6,1,1,1,111
12403.0,2011-10-21 10:51:00,49,1,427.7,3,1,1,311
12405.0,2011-07-14 08:52:00,148,1,1710.39,2,1,1,211
12406.0,2011-11-17 19:22:00,21,2,3415.3,4,1,1,411
12407.0,2011-10-21 10:11:00,49,5,1708.1200000000001,3,1,1,311
12408.0,2011-11-07 12:27:00,32,5,2888.55,4,1,1,411
12409.0,2011-09-22 10:38:00,78,3,11072.67,2,1,1,211
12410.0,2011-02-04 10:39:00,308,2,693.3299999999999,1,1,1,111
12412.0,2011-09-26 10:16:00,74,3,1226.88,2,1,1,211
12413.0,2011-10-04 09:00:00,66,3,758.1,3,1,1,311
12414.0,2011-05-06 14:51:00,216,3,562.41,1,1,1,111
12415.0,2011-11-15 14:22:00,23,21,124914.53,4,1,3,413
12417.0,2011-12-06 14:52:00,2,9,3649.1,5,1,1,511
12418.0,2011-08-19 11:08:00,112,1,668.58,2,1,1,211
12420.0,2011-10-07 08:55:00,63,1,600.39,3,1,1,311
12421.0,2011-11-24 09:07:00,15,4,807.04,4,1,1,411
12422.0,2011-09-05 09:48:00,95,3,803.5600000000001,2,1,1,211
12423.0,2011-12-09 10:10:00,0,8,1859.31,5,1,1,511
12424.0,2011-06-30 12:06:00,162,2,1760.96,2,1,1,211
12425.0,2011-09-22 17:31:00,77,1,777.2,2,1,1,211
12426.0,2011-05-29 12:26:00,194,1,582.73,1,1,1,111
12427.0,2011-11-18 08:56:00,21,3,825.8,4,1,1,411
12428.0,2011-11-14 08:22:00,25,9,7956.46,4,1,1,411
12429.0,2011-11-30 17:22:00,8,4,3750.4,5,1,1,511
12430.0,2011-10-27 15:09:00,42,1,256.4,3,1,1,311
12431.0,2011-11-04 11:55:00,35,15,6419.95,3,1,1,311
12432.0,2011-10-28 11:43:00,42,5,5059.32,3,1,1,311
12433.0,2011-12-09 10:02:00,0,7,13375.87,5,1,1,511
12434.0,2011-09-16 12:38:00,84,2,806.14,2,1,1,211
12435.0,2011-09-21 09:06:00,79,2,7829.89,2,1,1,211
12436.0,2011-09-01 12:09:00,99,1,509.01,2,1,1,211
12437.0,2011-12-08 11:35:00,1,18,4951.41,5,1,1,511
12438.0,2011-11-25 13:28:00,13,2,2906.85,4,1,1,411
12441.0,2010-12-08 10:45:00,366,1,173.55,1,1,1,111
12442.0,2011-12-06 14:22:00,2,1,172.06,5,1,1,511
12444.0,2011-11-18 13:23:00,20,5,5005.46,4,1,1,411
12445.0,2011-11-17 18:43:00,21,1,133.4,4,1,1,411
12446.0,2011-10-13 12:50:00,57,1,1002.3100000000001,3,1,1,311
12447.0,2011-04-10 13:25:00,242,1,476.49,1,1,1,111
12448.0,2011-10-26 13:46:00,43,1,449.45,3,1,1,311
12449.0,2011-11-17 13:46:00,21,4,4067.29,4,1,1,411
12450.0,2011-07-06 14:41:00,155,2,197.88,2,1,1,211
12451.0,2011-11-29 08:40:00,10,5,9035.52,5,1,1,511
12452.0,2011-11-23 10:28:00,16,2,430.57,4,1,1,411
12453.0,2011-07-28 14:08:00,133,1,707.09,2,1,1,211
12454.0,2011-10-14 17:13:00,55,1,3528.34,3,1,1,311
12455.0,2011-09-27 15:31:00,72,6,2466.86,2,1,1,211
12456.0,2011-10-26 14:41:00,43,3,3181.04,3,1,1,311
12457.0,2011-10-04 13:13:00,65,7,2363.23,3,1,1,311
12458.0,2011-09-29 15:25:00,70,2,947.4,3,1,1,311
12461.0,2011-09-06 16:57:00,93,2,826.88,2,1,1,211
12462.0,2011-11-21 09:11:00,18,2,1189.59,4,1,1,411
12463.0,2011-10-17 13:44:00,52,4,1344.78,3,1,1,311
12464.0,2011-11-29 13:33:00,9,8,1212.05,5,1,1,511
12465.0,2011-11-22 16:34:00,16,2,742.1899999999999,4,1,1,411
12468.0,2011-06-05 11:36:00,187,2,729.5400000000001,1,1,1,111
12471.0,2011-12-07 15:43:00,1,30,19788.65,5,1,1,511
12472.0,2011-11-07 14:01:00,31,7,6572.11,4,1,1,411
12473.0,2011-11-10 13:46:00,28,5,3928.0499999999997,4,1,1,411
12474.0,2011-11-22 14:39:00,16,18,7324.09,4,1,1,411
12475.0,2011-10-17 10:10:00,53,1,723.38,3,1,1,311
12476.0,2011-11-24 12:40:00,15,11,6816.42,4,1,1,411
12477.0,2011-11-17 09:51:00,22,6,13219.74,4,1,1,411
12478.0,2011-12-06 09:56:00,3,1,680.99,5,1,1,511
12479.0,2011-11-28 13:26:00,10,1,527.2,5,1,1,511
12480.0,2011-11-11 14:52:00,27,4,3281.63,4,1,1,411
12481.0,2011-11-17 08:29:00,22,10,5579.82,4,1,1,411
12483.0,2011-11-22 17:02:00,16,8,2484.98,4,1,1,411
12484.0,2011-11-07 11:37:00,32,6,4527.32,4,1,1,411
12488.0,2011-11-30 08:50:00,9,3,1298.66,5,1,1,511
12489.0,2011-01-07 13:13:00,335,1,334.93,1,1,1,111
12490.0,2011-12-04 16:07:00,4,10,5417.93,5,1,1,511
12491.0,2011-11-01 12:18:00,38,1,460.40000000000003,3,1,1,311
12492.0,2011-10-07 15:15:00,62,2,263.21000000000004,3,1,1,311
12493.0,2011-06-27 10:17:00,165,2,433.74,2,1,1,211
12494.0,2011-11-24 09:34:00,15,7,1246.1000000000001,4,1,1,411
12497.0,2011-09-19 12:29:00,81,1,1043.1,2,1,1,211
12498.0,2011-11-18 12:53:00,20,3,403.70000000000005,4,1,1,411
12500.0,2011-11-16 16:20:00,22,11,4257.82,4,1,1,411
12501.0,2011-01-07 12:28:00,336,1,2169.39,1,1,1,111
12502.0,2011-09-05 11:52:00,95,5,3723.87,2,1,1,211
12504.0,2011-11-21 16:02:00,17,2,482.04999999999995,4,1,1,411
12506.0,2011-04-21 08:54:00,232,1,73.5,1,1,1,111
12507.0,2011-07-28 17:09:00,133,3,1304.81,2,1,1,211
12508.0,2011-11-13 15:37:00,25,2,397.88,4,1,1,411
12509.0,2011-02-28 14:45:00,283,1,176.5,1,1,1,111
12510.0,2011-07-20 10:15:00,142,2,982.5699999999999,2,1,1,211
12512.0,2011-10-04 14:55:00,65,2,132.18,3,1,1,311
